amfi_code,scheme_name,category,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank_inverse,max_dd_rank_inverse,fund_score,rank
119093,Axis Bluechip Fund - Direct - Growth,Large Cap,0.2081677117553586,0.1296144979566887,0.0823280129522202,0.75,-0.2175139637014822,62.5,30.0,32.5,82.5,77.5,52.875,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,0.1474803553358601,0.9262873467360142,0.2087301008694227,1.52,-0.1527259422823477,42.5,65.0,67.5,36.25,47.5,52.6875,20
102887,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,0.2555618790412652,0.6195175900829824,0.1621125679403321,1.64,-0.2153982711238322,70.0,47.5,50.0,3.75,75.0,50.9375,21
120503,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,0.1397838193370304,0.7979728586052823,0.1770330236584399,1.42,-0.1389786282306163,40.0,60.0,60.0,52.5,35.0,50.375,22
102885,UTI Nifty 50 Index Fund - Regular - Growth,Index,0.1966726206830185,0.8170993373494353,0.1704875680341263,1.57,-0.1085986215250232,57.49999999999999,62.5,55.00000000000001,17.5,17.5,48.25,23
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,0.1124522286662141,0.3006119210425451,0.1198910097121789,0.78,-0.2111727956013211,37.5,35.0,37.5,77.5,72.5,46.375,24
118634,Nippon India Small Cap Fund - Regular - Growth,Small Cap,0.0800792772865608,0.4484340089089896,0.1750072167561119,1.53,-0.2334488614483311,35.0,37.5,57.49999999999999,31.25,80.0,44.0625,25
149322,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,0.1804420648663613,0.4640374492204744,0.1317319022609936,1.54,-0.1484457691777174,50.0,40.0,42.5,26.25,40.0,41.4375,26
120841,Kotak Bluechip Fund - Regular - Growth,Large Cap,0.1726727508371786,0.4942725378672303,0.1304292445070536,1.59,-0.1757361416468729,47.5,42.5,40.0,15.0,60.0,41.125,27
120507,ICICI Pru Liquid Fund - Regular - Growth,Liquid,0.0739428630036007,0.4957233929519047,0.0674621041109882,0.74,-0.0009773140045925,30.0,45.0,25.0,85.0,2.5,38.25,28
120842,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,0.0775600355132728,0.0759998480465841,0.0780443887615498,1.56,-0.2400351132627488,32.5,27.500000000000004,30.0,20.0,82.5,33.875,29
119599,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,-0.0133738661448811,-0.0571866258281819,0.0488242159455394,0.72,-0.5257422117012851,7.5,22.5,12.5,88.75,100.0,33.6875,30
120844,Kotak Liquid Fund - Regular - Growth,Liquid,0.0669597162458699,-0.0887472962169807,0.0645567749537528,0.6,-0.0011629327956168,27.500000000000004,17.5,22.5,95.0,5.0,31.875,31
101207,ABSL Small Cap Fund - Regular - Growth,Small Cap,-0.0415238104485448,0.1626607692864676,0.1089709190170452,1.53,-0.3544691649336603,5.0,32.5,35.0,31.25,95.0,30.8125,32
118636,Nippon India Gilt Securities Fund - Regular - Growth,Gilt,0.0406220502377714,-0.3566295075144002,0.0507477299997599,0.55,-0.083163617636387,20.0,7.5,15.0,100.0,15.0,27.375,33
119095,Axis Small Cap Fund - Regular - Growth,Small Cap,-0.1170580672399527,-0.0759735711747894,0.0480159536377595,1.38,-0.5167775370852656,2.5,20.0,10.0,60.0,97.5,26.5,34
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Gilt,0.0584035879846309,-0.2265753866279454,0.0562089521663826,0.77,-0.0432872892397009,22.5,10.0,17.5,80.0,12.5,26.0,35
101208,ABSL Liquid Fund - Regular - Growth,Liquid,0.063157844913755,-0.8155673679101677,0.0608614579578647,0.79,-0.0016224980244717,25.0,2.5,20.0,75.0,7.5,24.125,36
100025,HDFC Short Term Debt Fund - Regular - Growth,Short Duration,0.0391638995710403,-0.5670947928477088,0.0428179203150603,0.56,-0.0430826382463634,17.5,5.0,7.5,97.5,10.0,23.625,37
102886,UTI Mid Cap Fund - Regular - Growth,Mid Cap,-0.0076740631785472,-0.2058316078547049,0.0289693978663792,1.51,-0.2800112356639287,10.0,12.5,2.5,41.25,87.5,21.5625,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,0.0129264934249562,-0.2015170675596697,0.0374758076344328,1.55,-0.247344408806733,15.0,15.0,5.0,22.5,85.0,21.125,39
119092,Axis Bluechip Fund - Regular - Growth,Large Cap,0.0052588712097574,0.0307848509545838,0.0689952982167752,1.64,-0.1440161790933726,12.5,25.0,27.500000000000004,3.75,37.5,19.8125,40
